video_id,rally_id,event_rank,event_frame_original,prev_event_frame_original,next_event_frame_original,window_start_original,window_end_original,event_offset_frames,frame_count,window_strategy,clip_id,reference_frame_count,frame_count_abs_error
40,17,3,22497,22466,22532,22482,22514,15,33,midpoint,40_1_15_4,74,41
40,17,4,22532,22497,22568,22514,22550,18,37,midpoint,40_1_15_5,79,42
40,17,5,22568,22532,,22550,22710,18,161,midpoint,40_1_15_6,51,110
40,18,1,22954,,23020,22950,22987,4,38,midpoint,40_1_16_1,67,29
40,18,2,23020,22954,,22987,23370,33,384,midpoint,40_1_16_2,60,324
40,19,1,23508,,23525,23460,23516,48,57,midpoint,40_1_17_2,69,12
40,19,2,23525,23508,23554,23516,23540,9,25,midpoint,40_1_17_3,53,28
40,19,3,23554,23525,23585,23540,23570,14,31,midpoint,40_1_17_4,68,37
40,19,4,23585,23554,23613,23570,23599,15,30,midpoint,40_1_17_5,67,37
40,19,5,23613,23585,23663,23599,23638,14,40,midpoint,40_1_17_6,81,41
40,19,6,23663,23613,23698,23638,23680,25,43,midpoint,40_1_17_7,87,44
40,19,7,23698,23663,23718,23680,23708,18,29,midpoint,40_1_17_8,63,34
40,19,8,23718,23698,,23708,23820,10,113,midpoint,40_1_17_9,36,77
40,20,1,24162,,24221,24090,24192,72,103,midpoint,40_1_18_1,67,36
40,20,2,24221,24162,24237,24192,24229,29,38,midpoint,40_1_18_2,69,31
40,20,3,24237,24221,24266,24229,24252,8,24,midpoint,40_1_18_3,53,29
40,20,4,24266,24237,24298,24252,24282,14,31,midpoint,40_1_18_4,68,37
40,20,5,24298,24266,24655,24282,24476,16,195,midpoint,40_1_18_5,48,147
40,20,6,24655,24298,24712,24476,24684,179,209,midpoint,40_1_19_1,67,142
40,20,7,24712,24655,24738,24684,24725,28,42,midpoint,40_1_19_2,79,37
40,20,8,24738,24712,24776,24725,24757,13,33,midpoint,40_1_19_3,72,39
40,20,9,24776,24738,24804,24757,24790,19,34,midpoint,40_1_19_4,73,39
40,20,10,24804,24776,24835,24790,24820,14,31,midpoint,40_1_19_5,67,36
40,20,11,24835,24804,24859,24820,24847,15,28,midpoint,40_1_19_6,62,34
40,20,12,24859,24835,24873,24847,24866,12,20,midpoint,40_1_19_7,45,25
40,20,13,24873,24859,,24866,24990,7,125,midpoint,40_1_19_8,30,95
40,21,1,25416,,,25410,25590,6,181,midpoint,40_1_20_3,35,146
40,22,1,25822,,,25800,25920,22,121,midpoint,40_1_21_3,39,82
40,23,1,27771,,27827,27570,27799,201,230,midpoint,40_1_22_1,67,163
40,23,2,27827,27771,27853,27799,27840,28,42,midpoint,40_1_22_2,78,36
40,23,3,27853,27827,27884,27840,27868,13,29,midpoint,40_1_22_3,65,36
40,23,4,27884,27853,,27868,28020,16,153,midpoint,40_1_22_4,46,107
40,24,1,28651,,28675,28410,28663,241,254,midpoint,40_1_23_1,46,208
40,24,2,28675,28651,28702,28663,28688,12,26,midpoint,40_1_23_2,58,32
40,24,3,28702,28675,28756,28688,28729,14,42,midpoint,40_1_23_3,79,37
40,24,4,28756,28702,28794,28729,28775,27,47,midpoint,40_1_23_4,90,43
40,24,5,28794,28756,28826,28775,28810,19,36,midpoint,40_1_23_5,78,42
40,24,6,28826,28794,28854,28810,28840,16,31,midpoint,40_1_23_6,67,36
40,24,7,28854,28826,28899,28840,28876,14,37,midpoint,40_1_23_7,81,44
40,24,8,28899,28854,28925,28876,28912,23,37,midpoint,40_1_23_8,78,41
40,24,9,28925,28899,,28912,29040,13,129,midpoint,40_1_23_9,41,88
40,25,1,29465,,29524,29460,29494,5,35,midpoint,40_1_24_1,68,33
40,25,2,29524,29465,,29494,29610,30,117,midpoint,40_1_24_2,60,57
40,26,1,29920,,29945,29850,29932,70,83,midpoint,40_1_25_1,48,35
40,26,2,29945,29920,29976,29932,29960,13,29,midpoint,40_1_25_2,64,35
40,26,3,29976,29945,29993,29960,29984,16,25,midpoint,40_1_25_3,56,31
40,26,4,29993,29976,30019,29984,30006,9,23,midpoint,40_1_25_4,50,27
40,26,5,30019,29993,,30006,30120,13,115,midpoint,40_1_25_5,42,73
40,27,1,30466,,30495,30450,30480,16,31,midpoint,40_1_26_2,64,33
40,27,2,30495,30466,30508,30480,30502,15,23,midpoint,40_1_26_3,49,26
40,27,3,30508,30495,30540,30502,30524,6,23,midpoint,40_1_26_4,52,29
40,27,4,30540,30508,30553,30524,30546,16,23,midpoint,40_1_26_5,52,29
40,27,5,30553,30540,30580,30546,30566,7,21,midpoint,40_1_26_6,47,26
40,27,6,30580,30553,30594,30566,30587,14,22,midpoint,40_1_26_7,48,26
40,27,7,30594,30580,30620,30587,30607,7,21,midpoint,40_1_26_8,48,27
40,27,8,30620,30594,30647,30607,30634,13,28,midpoint,40_1_26_9,60,32
40,27,9,30647,30620,,30634,30750,13,117,midpoint,40_1_26_10,43,74
40,28,1,31246,,31260,31200,31253,46,54,midpoint,40_1_27_2,67,13
40,28,2,31260,31246,31281,31253,31270,7,18,midpoint,40_1_27_3,43,25
40,28,3,31281,31260,31315,31270,31298,11,29,midpoint,40_1_27_4,62,33
40,28,4,31315,31281,31347,31298,31331,17,34,midpoint,40_1_27_5,73,39
40,28,5,31347,31315,31381,31331,31364,16,34,midpoint,40_1_27_6,73,39
40,28,6,31381,31347,31405,31364,31393,17,30,midpoint,40_1_27_7,65,35
40,28,7,31405,31381,31437,31393,31421,12,29,midpoint,40_1_27_8,64,35
40,28,8,31437,31405,31490,31421,31464,16,44,midpoint,40_1_27_9,85,41
40,28,9,31490,31437,31510,31464,31500,26,37,midpoint,40_1_27_10,73,36
40,28,10,31510,31490,31539,31500,31524,10,25,midpoint,40_1_27_11,57,32
40,28,11,31539,31510,31568,31524,31554,15,31,midpoint,40_1_27_12,66,35
40,28,12,31568,31539,,31554,31650,14,97,midpoint,40_1_27_13,44,53
40,29,1,32147,,,32100,32250,47,151,midpoint,40_1_28_2,60,91
40,30,1,32474,,32529,32400,32502,74,103,midpoint,40_1_29_1,68,35
40,30,2,32529,32474,32544,32502,32536,27,35,midpoint,40_1_29_2,67,32
40,30,3,32544,32529,32576,32536,32560,8,25,midpoint,40_1_29_3,54,29
40,30,4,32576,32544,32593,32560,32584,16,25,midpoint,40_1_29_4,56,31
40,30,5,32593,32576,32617,32584,32605,9,22,midpoint,40_1_29_5,48,26
40,30,6,32617,32593,32646,32605,32632,12,28,midpoint,40_1_29_6,60,32
40,30,7,32646,32617,32655,32632,32650,14,19,midpoint,40_1_29_7,45,26
40,30,8,32655,32646,33009,32650,32832,5,183,midpoint,40_1_29_8,25,158
40,30,9,33009,32655,33065,32832,33037,177,206,midpoint,40_1_30_1,67,139
40,30,10,33065,33009,33089,33037,33077,28,41,midpoint,40_1_30_2,77,36
40,30,11,33089,33065,33118,33077,33104,12,28,midpoint,40_1_30_3,60,32
40,30,12,33118,33089,33128,33104,33123,14,20,midpoint,40_1_30_4,47,27
40,30,13,33128,33118,33155,33123,33142,5,20,midpoint,40_1_30_5,45,25
40,30,14,33155,33128,33177,33142,33166,13,25,midpoint,40_1_30_6,57,32
40,30,15,33177,33155,33205,33166,33191,11,26,midpoint,40_1_30_7,58,32
40,30,16,33205,33177,33218,33191,33212,14,22,midpoint,40_1_30_8,49,27
40,30,17,33218,33205,33248,33212,33233,6,22,midpoint,40_1_30_9,51,29
40,30,18,33248,33218,33278,33233,33263,15,31,midpoint,40_1_30_10,68,37
40,30,19,33278,33248,33328,33263,33303,15,41,midpoint,40_1_30_11,83,42
40,30,20,33328,33278,,33303,33420,25,118,midpoint,40_1_30_12,60,58
40,31,1,33729,,33773,33540,33751,189,212,midpoint,40_1_31_1,67,145
40,31,2,33773,33729,33821,33751,33797,22,47,midpoint,40_1_31_2,97,50
40,31,3,33821,33773,33845,33797,33833,24,37,midpoint,40_1_31_3,77,40
40,31,4,33845,33821,33877,33833,33861,12,29,midpoint,40_1_31_4,63,34
40,31,5,33877,33845,34501,33861,34189,16,329,midpoint,40_1_31_5,48,281
40,31,6,34501,33877,34561,34189,34531,312,343,midpoint,40_1_32_1,67,276
40,31,7,34561,34501,34590,34531,34576,30,46,midpoint,40_1_32_2,82,36
40,31,8,34590,34561,34606,34576,34598,14,23,midpoint,40_1_32_3,52,29
40,31,9,34606,34590,34645,34598,34626,8,29,midpoint,40_1_32_4,62,33
40,31,10,34645,34606,34681,34626,34663,19,38,midpoint,40_1_32_5,82,44
40,31,11,34681,34645,34717,34663,34699,18,37,midpoint,40_1_32_6,79,42
40,31,12,34717,34681,34759,34699,34738,18,40,midpoint,40_1_32_7,85,45
40,31,13,34759,34717,34784,34738,34772,21,35,midpoint,40_1_32_8,75,40
40,31,14,34784,34759,34814,34772,34799,12,28,midpoint,40_1_32_9,63,35
40,31,15,34814,34784,34864,34799,34839,15,41,midpoint,40_1_32_10,83,42
40,31,16,34864,34814,34890,34839,34877,25,39,midpoint,40_1_32_11,78,39
40,31,17,34890,34864,34921,34877,34906,13,30,midpoint,40_1_32_12,64,34
40,31,18,34921,34890,34946,34906,34934,15,29,midpoint,40_1_32_13,63,34
40,31,19,34946,34921,35003,34934,34974,12,41,midpoint,40_1_32_14,78,37
40,31,20,35003,34946,35036,34974,35020,29,47,midpoint,40_1_32_15,86,39
40,31,21,35036,35003,35068,35020,35052,16,33,midpoint,40_1_32_16,72,39
40,31,22,35068,35036,35109,35052,35088,16,37,midpoint,40_1_32_17,81,44
