video_id,rally_id,event_rank,event_frame_original,prev_event_frame_original,next_event_frame_original,window_start_original,window_end_original,event_offset_frames,frame_count,window_strategy,clip_id,reference_frame_count,frame_count_abs_error
40,20,13,24873,24859,,24859,24887,14,29,bst-compatible,40_1_19_8,30,1
40,21,1,25416,,,25401,25430,15,30,bst-compatible,40_1_20_3,35,5
40,22,1,25822,,,25807,25836,15,30,bst-compatible,40_1_21_3,39,9
40,23,1,27771,,27827,27756,27822,15,67,bst-compatible,40_1_22_1,67,0
40,23,2,27827,27771,27853,27782,27859,45,78,bst-compatible,40_1_22_2,78,0
40,23,3,27853,27827,27884,27827,27890,26,64,bst-compatible,40_1_22_3,65,1
40,23,4,27884,27853,,27853,27898,31,46,bst-compatible,40_1_22_4,46,0
40,24,1,28651,,28675,28636,28681,15,46,bst-compatible,40_1_23_1,46,0
40,24,2,28675,28651,28702,28651,28708,24,58,bst-compatible,40_1_23_2,58,0
40,24,3,28702,28675,28756,28675,28753,27,79,bst-compatible,40_1_23_3,79,0
40,24,4,28756,28702,28794,28711,28800,45,90,bst-compatible,40_1_23_4,90,0
40,24,5,28794,28756,28826,28756,28832,38,77,bst-compatible,40_1_23_5,78,1
40,24,6,28826,28794,28854,28794,28860,32,67,bst-compatible,40_1_23_6,67,0
40,24,7,28854,28826,28899,28826,28905,28,80,bst-compatible,40_1_23_7,81,1
40,24,8,28899,28854,28925,28854,28931,45,78,bst-compatible,40_1_23_8,78,0
40,24,9,28925,28899,,28899,28939,26,41,bst-compatible,40_1_23_9,41,0
40,25,1,29465,,29524,29450,29516,15,67,bst-compatible,40_1_24_1,68,1
40,25,2,29524,29465,,29479,29538,45,60,bst-compatible,40_1_24_2,60,0
40,26,1,29920,,29945,29905,29951,15,47,bst-compatible,40_1_25_1,48,1
40,26,2,29945,29920,29976,29920,29982,25,63,bst-compatible,40_1_25_2,64,1
40,26,3,29976,29945,29993,29945,29999,31,55,bst-compatible,40_1_25_3,56,1
40,26,4,29993,29976,30019,29976,30025,17,50,bst-compatible,40_1_25_4,50,0
40,26,5,30019,29993,,29993,30033,26,41,bst-compatible,40_1_25_5,42,1
40,27,1,30466,,30495,30451,30501,15,51,bst-compatible,40_1_26_2,64,13
40,27,2,30495,30466,30508,30466,30514,29,49,bst-compatible,40_1_26_3,49,0
40,27,3,30508,30495,30540,30495,30546,13,52,bst-compatible,40_1_26_4,52,0
40,27,4,30540,30508,30553,30508,30559,32,52,bst-compatible,40_1_26_5,52,0
40,27,5,30553,30540,30580,30540,30586,13,47,bst-compatible,40_1_26_6,47,0
40,27,6,30580,30553,30594,30553,30600,27,48,bst-compatible,40_1_26_7,48,0
40,27,7,30594,30580,30620,30580,30626,14,47,bst-compatible,40_1_26_8,48,1
40,27,8,30620,30594,30647,30594,30653,26,60,bst-compatible,40_1_26_9,60,0
40,27,9,30647,30620,,30620,30661,27,42,bst-compatible,40_1_26_10,43,1
40,28,1,31246,,31260,31231,31266,15,36,bst-compatible,40_1_27_2,67,31
40,28,2,31260,31246,31281,31246,31287,14,42,bst-compatible,40_1_27_3,43,1
40,28,3,31281,31260,31315,31260,31321,21,62,bst-compatible,40_1_27_4,62,0
40,28,4,31315,31281,31347,31281,31353,34,73,bst-compatible,40_1_27_5,73,0
40,28,5,31347,31315,31381,31315,31387,32,73,bst-compatible,40_1_27_6,73,0
40,28,6,31381,31347,31405,31347,31411,34,65,bst-compatible,40_1_27_7,65,0
40,28,7,31405,31381,31437,31381,31443,24,63,bst-compatible,40_1_27_8,64,1
40,28,8,31437,31405,31490,31405,31488,32,84,bst-compatible,40_1_27_9,85,1
40,28,9,31490,31437,31510,31445,31516,45,72,bst-compatible,40_1_27_10,73,1
40,28,10,31510,31490,31539,31490,31545,20,56,bst-compatible,40_1_27_11,57,1
40,28,11,31539,31510,31568,31510,31574,29,65,bst-compatible,40_1_27_12,66,1
