video_id,rally_id,event_rank,event_frame_local,event_frame_original,window_start_local,window_end_local,window_start_original,window_end_original,context_start_original,context_end_original,prev_event_frame_original,next_event_frame_original
40,31,2,233,33773,211,257,33751,33797,33758,33788,33729,33821
40,31,3,281,33821,257,293,33797,33833,33806,33836,33773,33845
40,31,4,305,33845,293,321,33833,33861,33830,33860,33821,33877
40,31,5,337,33877,321,649,33861,34189,33862,33892,33845,34501
40,31,6,961,34501,649,991,34189,34531,34486,34516,33877,34561
40,31,7,1021,34561,991,1036,34531,34576,34546,34576,34501,34590
40,31,8,1050,34590,1036,1058,34576,34598,34575,34605,34561,34606
40,31,9,1066,34606,1058,1086,34598,34626,34591,34621,34590,34645
40,31,10,1105,34645,1086,1123,34626,34663,34630,34660,34606,34681
40,31,11,1141,34681,1123,1159,34663,34699,34666,34696,34645,34717
40,31,12,1177,34717,1159,1198,34699,34738,34702,34732,34681,34759
40,31,13,1219,34759,1198,1232,34738,34772,34744,34774,34717,34784
40,31,14,1244,34784,1232,1259,34772,34799,34769,34799,34759,34814
40,31,15,1274,34814,1259,1299,34799,34839,34799,34829,34784,34864
40,31,16,1324,34864,1299,1337,34839,34877,34849,34879,34814,34890
40,31,17,1350,34890,1337,1366,34877,34906,34875,34905,34864,34921
40,31,18,1381,34921,1366,1394,34906,34934,34906,34936,34890,34946
40,31,19,1406,34946,1394,1434,34934,34974,34931,34961,34921,35003
40,31,20,1463,35003,1434,1480,34974,35020,34988,35018,34946,35036
40,31,21,1496,35036,1480,1512,35020,35052,35021,35051,35003,35068
40,31,22,1528,35068,1512,1548,35052,35088,35053,35083,35036,35109
40,31,23,1569,35109,1548,1584,35088,35124,35094,35124,35068,35140
40,31,24,1600,35140,1584,1620,35124,35160,35125,35155,35109,35180
40,31,25,1640,35180,1620,1655,35160,35195,35165,35195,35140,35210
40,31,26,1670,35210,1655,1830,35195,35370,35195,35225,35180,
40,32,1,110,35630,0,138,35520,35658,35615,35645,,35685
40,32,2,165,35685,138,177,35658,35697,35670,35700,35630,35709
40,32,3,189,35709,177,206,35697,35726,35694,35724,35685,35744
40,32,4,224,35744,206,330,35726,35850,35729,35759,35709,
40,33,1,3,36183,0,36,36180,36216,36180,36198,,36248
40,33,2,68,36248,36,92,36216,36272,36233,36263,36183,36296
40,33,3,116,36296,92,210,36272,36390,36281,36311,36248,
40,34,1,20,36740,0,36,36720,36756,36725,36755,,36773
40,34,2,53,36773,36,62,36756,36782,36758,36788,36740,36791
40,34,3,71,36791,62,88,36782,36808,36776,36806,36773,36825
40,34,4,105,36825,88,129,36808,36849,36810,36840,36791,36873
40,34,5,153,36873,129,160,36849,36880,36858,36888,36825,36888
40,34,6,168,36888,160,185,36880,36905,36873,36903,36873,36922
40,34,7,202,36922,185,224,36905,36944,36907,36937,36888,36967
40,34,8,247,36967,224,264,36944,36984,36952,36982,36922,37000
40,34,9,280,37000,264,298,36984,37018,36985,37015,36967,37036
40,34,10,316,37036,298,330,37018,37050,37021,37051,37000,37063
40,34,11,343,37063,330,361,37050,37081,37048,37078,37036,37099
40,34,12,379,37099,361,398,37081,37118,37084,37114,37063,37136
40,34,13,416,37136,398,424,37118,37144,37121,37151,37099,37153
40,34,14,433,37153,424,451,37144,37171,37138,37168,37136,37189
40,34,15,469,37189,451,484,37171,37204,37174,37204,37153,37220
40,34,16,500,37220,484,515,37204,37235,37205,37235,37189,37250
40,34,17,530,37250,515,630,37235,37350,37235,37265,37220,
40,35,1,24,38184,0,54,38160,38214,38169,38199,,38244
40,35,2,84,38244,54,92,38214,38252,38229,38259,38184,38260
40,35,3,100,38260,92,108,38252,38268,38245,38275,38244,38277
40,35,4,117,38277,108,122,38268,38282,38262,38292,38260,38288
40,35,5,128,38288,122,144,38282,38304,38273,38303,38277,38320
40,35,6,160,38320,144,174,38304,38334,38305,38335,38288,38348
40,35,7,188,38348,174,205,38334,38365,38333,38363,38320,38382
40,35,8,222,38382,205,238,38365,38398,38367,38397,38348,38414
40,35,9,254,38414,238,272,38398,38432,38399,38429,38382,38450
40,35,10,290,38450,272,390,38432,38550,38435,38465,38414,
40,36,1,39,39069,0,55,39030,39085,39054,39084,,39101
40,36,2,71,39101,55,78,39085,39108,39086,39116,39069,39116
40,36,3,86,39116,78,105,39108,39135,39101,39131,39101,39154
40,36,4,124,39154,105,134,39135,39164,39139,39169,39116,39173
40,36,5,143,39173,134,156,39164,39186,39158,39188,39154,39199
40,36,6,169,39199,156,187,39186,39217,39184,39214,39173,39235
40,36,7,205,39235,187,214,39217,39244,39220,39250,39199,39253
40,36,8,223,39253,214,236,39244,39266,39238,39268,39235,39278
40,36,9,248,39278,236,266,39266,39296,39263,39293,39253,39315
40,36,10,285,39315,266,294,39296,39324,39300,39330,39278,39334
40,36,11,304,39334,294,312,39324,39342,39319,39349,39315,39351
40,36,12,321,39351,312,330,39342,39360,39336,39366,39334,39368
40,36,13,338,39368,330,352,39360,39382,39353,39383,39351,39396
40,36,14,366,39396,352,385,39382,39415,39381,39411,39368,39434
40,36,15,404,39434,385,419,39415,39449,39419,39449,39396,39464
40,36,16,434,39464,419,446,39449,39476,39449,39479,39434,39488
40,36,17,458,39488,446,474,39476,39504,39473,39503,39464,39520
40,36,18,490,39520,474,508,39504,39538,39505,39535,39488,39557
40,36,19,527,39557,508,540,39538,39570,39542,39572,39520,39584
40,36,20,554,39584,540,576,39570,39606,39569,39599,39557,39627
40,36,21,597,39627,576,609,39606,39639,39612,39642,39584,39651
40,36,22,621,39651,609,690,39639,39720,39636,39666,39627,
40,37,1,6,40236,0,31,40230,40261,40230,40251,,40286
40,37,2,56,40286,31,64,40261,40294,40271,40301,40236,40303
40,37,3,73,40303,64,88,40294,40318,40288,40318,40286,40332
40,37,4,102,40332,88,180,40318,40410,40317,40347,40303,
40,39,1,49,40939,0,78,40890,40968,40924,40954,,40997
40,39,2,107,40997,78,120,40968,41010,40982,41012,40939,41024
40,39,3,134,41024,120,146,41010,41036,41009,41039,40997,41047
40,39,4,157,41047,146,173,41036,41063,41032,41062,41024,41079
40,39,5,189,41079,173,202,41063,41092,41064,41094,41047,41104
40,39,6,214,41104,202,242,41092,41132,41089,41119,41079,41161
40,39,7,271,41161,242,278,41132,41168,41146,41176,41104,41174
40,39,8,284,41174,278,299,41168,41189,41159,41189,41161,41204
40,39,9,314,41204,299,329,41189,41219,41189,41219,41174,41234
40,39,10,344,41234,329,351,41219,41241,41219,41249,41204,41248
40,39,11,358,41248,351,373,41241,41263,41233,41263,41234,41278
40,39,12,388,41278,373,402,41263,41292,41263,41293,41248,41305
40,39,13,415,41305,402,436,41292,41326,41290,41320,41278,41346
